prevalence,"(0.8, 0.8)","(0.85, 0.8)","(0.9, 0.8)","(0.95, 0.8)","(1.0, 0.8)","(0.8, 0.85)","(0.85, 0.85)","(0.9, 0.85)","(0.95, 0.85)","(1.0, 0.85)","(0.8, 0.9)","(0.85, 0.9)","(0.9, 0.9)","(0.95, 0.9)","(1.0, 0.9)","(0.8, 0.95)","(0.85, 0.95)","(0.9, 0.95)","(0.95, 0.95)","(1.0, 0.95)","(0.8, 1.0)","(0.85, 1.0)","(0.9, 1.0)","(0.95, 1.0)","(1.0, 1.0)"
0.005,107905.608611111,92027.595133136,79422.9975,69249.5086111111,60919.3725,73743.0566715976,63669.4974999999,55537.1308333333,48876.8568749999,43353.2327941176,45465.9975,39690.5308333333,34958.56,31032.5303719723,27738.8863888889,21709.7086111111,19164.481875,17050.2362543252,15274.4357716049,13768.1553947368,1494.6225,1406.35044117647,1327.88638888889,1257.68171052632,1194.4975
0.01,27272.0252777778,23279.4353698225,20108.4975,17547.9752777778,15450.435,18754.4738313609,16212.9975,14159.8975,12477.32171875,11080.9680882353,11704.9975,10238.2641666667,9035.263125,8036.10130622837,7196.9975,5783.07527777777,5124.25921874999,4575.83660034602,4114.23206790123,3721.86592105263,744.31,700.173970588235,660.941944444445,625.839605263158,594.2475
0.015,12250.9542901234,10466.2092028271,9048.1086111111,7902.47651234568,6963.56694444444,8475.63655325443,7335.83083333332,6414.44935185185,5658.85687499999,5031.38965686274,5351.33083333333,4689.28638888889,4145.72666666666,3693.80834198385,3313.8987345679,2726.98762345679,2424.17631944444,2171.60572760476,1958.60175240055,1777.19633040935,494.205833333333,464.78181372549,438.62712962963,415.225570175438,394.164166666667
0.02,6963.56694444444,5953.87619822485,5151.2475,4502.54194444444,3970.65375,4845.722352071,4198.81,3675.53083333333,3246.1332421875,2889.32102941176,3093.2475,2715.13083333333,2404.37640625,2145.75874567474,1928.13638888889,1621.34194444444,1445.3832421875,1298.34698096886,1174.11864197531,1068.12907894737,369.15375,347.085735294118,327.469722222222,309.918552631579,294.1225
0.025,4502.54194444444,3852.64602071006,3335.7975,2917.88194444444,2575.0725,3150.81525147929,2733.0975,2394.9975,2117.381875,1886.55044117647,2032.3975,1786.74416666667,1584.66,1416.31999134948,1274.53083333333,1093.12194444444,976.906874999998,879.625873702421,797.295030864196,726.934342105262,294.1225,276.468088235294,260.775277777778,246.734342105263,234.0975
0.03,3158.27836419753,2704.39657955292,2343.27527777778,2051.15058641975,1811.42111111111,2222.14444280079,1929.4975,1692.48268518518,1497.74880208333,1335.73279411765,1447.66416666667,1274.53083333333,1131.97145833333,1013.10707324106,912.898734567901,797.295030864197,714.08907986111,644.326027489426,585.190229766803,534.573523391812,244.101666666667,229.389656862745,216.312314814815,204.611535087719,194.080833333333
0.035,2343.27527777778,2007.92649408284,1740.9975,1524.97527777778,1347.6225,1657.38803254438,1440.4975,1264.73083333333,1120.231875,999.938676470587,1089.9975,960.930833333333,854.559999999999,765.789887543252,690.886388888889,613.575277777777,550.606874999999,497.73106401384,452.843179012345,414.365921052631,208.3725,195.762205882353,184.553055555556,174.523815789474,165.4975
0.04,1811.42111111111,1553.22678994083,1347.6225,1181.15861111111,1044.435,1287.73159763314,1120.231875,984.41,872.683779296874,779.618823529411,854.559999999999,754.314166666667,671.6234765625,602.555458477508,544.226666666667,490.871111111111,441.254091796874,399.529723183391,364.059035493827,333.612631578947,181.575625,170.541617647059,160.733611111111,151.958026315789,144.06
0.045,1444.80751371742,1239.66204817737,1076.23206790123,943.858131001372,835.088549382716,1032.16822101687,898.682685185185,790.378569958848,701.236504629629,626.940855119825,690.886388888889,610.550586419753,544.226666666667,488.782582660515,441.920682441701,404.374180384088,364.059035493827,330.110832478961,301.212787303764,276.376317413905,160.733611111111,150.925604575163,142.20737654321,134.406856725146,127.386388888889
0.05,1181.15861111111,1014.06732248521,880.897499999999,772.988611111111,684.284999999999,847.844245562129,738.797499999999,650.270833333333,577.365468749999,516.568088235294,572.197499999999,506.210833333333,451.688125,406.072240484429,367.486388888889,340.808611111111,307.25296875,278.960475778546,254.846882716049,234.0975,144.06,135.232794117647,127.386388888889,120.365921052632,114.0475
0.055,985.043872819099,846.188707394004,735.476838842974,645.728996786042,571.924152892562,710.340646364125,619.45617768595,545.632210743801,484.801089876032,434.044656052503,483.187582644628,427.897224517906,382.175702479339,343.893007449455,311.485103305785,292.524038108356,264.047990702479,240.009196073665,219.496989847975,201.826556111353,130.417954545455,122.393221925134,115.260126262626,108.87788277512,103.133863636364
0.06,835.088549382715,717.770346811308,624.191944444444,548.302438271605,485.869027777777,604.902825443786,527.893333333333,465.304907407407,413.703554687499,370.624950980392,414.580833333333,367.486388888889,328.511822916666,295.853324682814,268.185771604938,254.846882716049,230.293832465277,209.542867166474,191.816515775034,176.52966374269,119.049583333333,111.693578431372,105.154907407407,99.3045175438596,94.0391666666666
0.065,717.770346811308,617.26048098806,537.056671597633,471.987506574622,418.434630177515,522.18219241273,456.018210059171,402.214857001972,357.832466715976,320.760813609467,360.482707100591,319.81367357002,286.13100591716,257.885790575541,233.939643326759,224.783956278764,203.330247781065,185.178864017936,169.656898056834,156.257543600124,109.430192307692,102.640033936652,96.6043376068376,91.2039777327935,86.3436538461538
0.07,624.191944444444,537.056671597633,467.497499999999,411.041944444444,364.56,456.018210059171,398.497499999999,351.6975,313.07171875,280.791617647059,316.9975,281.464166666666,252.013125,227.298538062284,206.330833333333,200.341944444444,181.38421875,165.327949826989,151.583919753086,139.708026315789,101.185,94.8798529411764,89.2752777777778,84.2606578947368,79.7475
0.075,548.302438271605,471.987506574622,411.041944444444,361.55799382716,320.800277777778,402.214857001972,351.6975,310.573796296296,276.615208333333,248.221029411765,281.464166666666,250.104166666667,224.093333333333,202.250325836217,183.706141975309,180.149104938271,163.234652777778,148.894770280661,136.608336762688,125.982295321637,94.0391666666666,88.154362745098,82.9234259259259,78.2431140350877,74.0308333333333
0.08,485.869027777778,418.434630177515,364.56,320.800277777778,284.74359375,357.832466715976,313.07171875,276.615208333333,246.495241699218,221.298051470588,252.013125,224.093333333333,200.919619140625,181.445813148789,164.902013888889,163.234652777778,148.016726074219,135.102982266436,124.028508873457,114.442401315789,87.7865625,82.2695588235294,77.3655555555556,72.9777631578947,69.02875
0.085,433.857746059208,373.803933119715,325.807188581315,286.806881007305,254.659697231834,320.760813609467,280.791617647059,248.221029411765,221.298051470588,198.764241298595,227.298538062284,202.250325836217,181.445813148789,163.951308024329,149.079391580161,148.894770280661,135.102982266436,123.388922516493,113.334656649152,104.624526042615,82.2695588235294,77.0770847750865,72.4615522875817,68.3318653250774,64.6151470588235
0.09,390.047225651577,336.195688326393,293.139475308642,258.140435528121,229.280679012346,289.452573416612,253.516018518518,224.216841563786,199.986070601852,179.69575708061,206.330833333333,183.706141975309,164.902013888889,149.079391580161,135.620270919067,136.608336762689,124.028508873457,113.334656649152,104.148544048163,96.1843096166341,77.3655555555555,72.4615522875817,68.102438271605,64.2021783625731,60.6919444444445
0.095,352.780356263465,304.192422060679,265.329909972299,233.728001692828,207.659896121883,262.751765764067,230.24265235457,203.724739150508,181.783467797784,163.401606240834,188.368691135734,167.809503693444,150.710969529086,136.314439681201,124.060904124346,125.982295321637,114.442401315789,104.624526042615,96.1843096166341,88.8613285464352,72.9777631578947,68.3318653250774,64.2021783625731,60.5071952908587,57.1817105263158
0.1,320.800277777778,276.718801775148,241.4475,212.755277777778,189.07875,239.780340236686,210.21,186.0775,166.1004296875,149.356323529412,172.8475,154.064166666667,138.43265625,125.263243944637,114.0475,116.715277777778,106.0754296875,97.0161851211072,89.2223456790123,82.455394736842,69.02875,64.6151470588235,60.6919444444444,57.1817105263158,54.0225
0.105,293.139475308642,252.946875410914,220.775277777778,194.595030864197,172.983611111111,219.861405325444,192.830833333333,170.760462962963,152.481875,137.154362745098,159.330833333333,142.086388888889,127.726666666667,115.62149077278,105.306141975309,108.572808641975,98.717986111111,90.3208371780084,83.091464334705,76.810365497076,65.4558333333333,61.2524019607843,57.5160185185185,54.1729385964912,51.1641666666667
0.11,269.043184113866,232.230616533816,202.753698347107,178.757646923783,158.942231404959,202.466153723898,177.646260330578,157.371329201102,140.571977014463,126.478540350024,147.476838842975,131.575461432507,118.326141528926,107.150521247391,97.6219260789715,101.370043617998,92.204724948347,84.3894614515713,77.6564633710845,71.80285015224,62.2077272727273,58.1953609625668,54.6288131313131,51.4376913875598,48.5656818181818
0.115,247.915479416089,214.05984829588,186.940789224953,164.856311174123,146.613048204159,187.176468915336,164.29334120983,145.591828922495,130.089152882798,117.077784665851,137.014513232514,122.292900126024,110.019357277883,99.6609114114899,90.8242170762445,94.959524784709,86.4036613894139,79.1030330616623,72.8092925739223,67.3341829171226,59.2420652173913,55.4041496163683,51.9926690821256,48.9402917620137,46.193152173913
0.12,229.280679012346,198.027250164365,172.983611111111,152.582067901235,135.723194444444,173.658126232741,152.481875,135.167407407407,120.808128255208,108.751176470588,127.726666666667,114.0475,102.636497395833,93.000671856978,84.776049382716,89.2223456790123,81.2083018663193,74.3654594386774,68.4626706104252,63.3246198830409,56.5235416666666,52.8455392156863,49.5762037037037,46.6510087719298,44.0183333333333
0.125,212.755277777778,183.804363905325,160.5975,141.685677777778,126.0525,161.641286982248,141.9775,125.892433333333,112.546875,101.336323529412,119.4375,106.684433333333,96.0399999999999,87.0466349480968,79.3663888888889,84.0616777777777,76.5318749999999,70.0983996539792,64.5454012345678,59.7090789473684,54.0225,50.4916176470588,47.3530555555555,44.5448684210526,42.0175
0.13,198.027250164365,171.123896134589,149.55075443787,131.964232412886,117.421686390532,150.906099138685,132.589215976331,117.599275147929,105.15696283284,94.7007718412808,112.003417159763,100.077184418146,90.1174149408284,81.6980794312155,74.5044033530572,79.3979602235371,72.303042714497,66.2374111402305,60.9988879757469,56.4339683899096,51.7138461538461,48.3187669683258,45.3009188034188,42.6007388663967,40.1705769230769
0.135,184.840587943911,159.766495381531,139.653192729767,123.251150358177,109.683542524005,141.271929590669,124.160051440329,110.150129172382,98.516340020576,88.7355779472282,105.306141975309,94.1215054869684,84.776049382716,76.871949997864,70.115164990093,75.1652793019356,68.4626706104252,62.7290467460283,57.7745072312825,53.4547955021298,49.5762037037037,46.3068681917211,43.40079218107,40.800618908382,38.460462962963
0.14,172.983611111111,149.55075443787,130.7475,115.408611111111,102.71625,132.589215976331,116.56,103.430833333333,92.5238671874999,83.3504411764705,99.2474999999999,88.7308333333333,79.93890625,72.4992301038062,66.1363888888889,71.3086111111111,64.9613671874999,59.5286418685121,54.8316049382716,50.7343421052631,47.59125,44.4386764705882,41.6363888888889,39.1290789473684,36.8725
0.145,162.280034020346,140.325568163429,122.702612960761,108.321770048884,96.4182788347206,124.73323303126,109.680615338882,97.3461325802616,87.0951330261592,78.4699767433727,93.7454191438763,83.8327754657154,75.5415695600475,68.5221596365342,62.5159304399524,67.7816987052451,61.7575884363852,56.5986092413464,52.1359521659987,48.241257431629,45.7431896551724,42.6993255578093,39.9936685823755,37.5728176043557,35.3940517241379
0.15,152.582067901234,131.964232412886,115.408611111111,101.894290123457,90.7044444444444,117.599275147929,103.430833333333,91.8160185185185,82.1592187499999,74.0308333333333,88.7308333333333,79.3663888888889,71.5297916666666,64.8920790080738,59.2098456790123,64.5454012345678,58.8161631944444,53.9071116878123,49.6585425240054,45.948961988304,44.0183333333333,41.075931372549,38.460462962963,36.1203070175438,34.0141666666667
