sensitivity,specificity,prevalence,tolerance_frac_prev,z,tolerance,min_n
0.8,0.8,0.005,0.1,1.96,5e-04,6905958.95111111
0.85,0.8,0.005,0.1,1.96,5e-04,5889766.08852071
0.9,0.8,0.005,0.1,1.96,5e-04,5083071.84
0.95,0.8,0.005,0.1,1.96,5e-04,4431968.55111111
1,0.8,0.005,0.1,1.96,5e-04,3898839.84
0.8,0.85,0.005,0.1,1.96,5e-04,4719555.62698225
0.85,0.85,0.005,0.1,1.96,5e-04,4074847.84
0.9,0.85,0.005,0.1,1.96,5e-04,3554376.37333333
0.95,0.85,0.005,0.1,1.96,5e-04,3128118.84
1,0.85,0.005,0.1,1.96,5e-04,2774606.89882353
0.8,0.9,0.005,0.1,1.96,5e-04,2909823.84
0.85,0.9,0.005,0.1,1.96,5e-04,2540193.97333333
0.9,0.9,0.005,0.1,1.96,5e-04,2237347.84
0.95,0.9,0.005,0.1,1.96,5e-04,1986081.94380623
1,0.9,0.005,0.1,1.96,5e-04,1775288.72888889
0.8,0.95,0.005,0.1,1.96,5e-04,1389421.35111111
0.85,0.95,0.005,0.1,1.96,5e-04,1226526.84
0.9,0.95,0.005,0.1,1.96,5e-04,1091215.12027682
0.95,0.95,0.005,0.1,1.96,5e-04,977563.889382715
1,0.95,0.005,0.1,1.96,5e-04,881161.945263157
0.8,1,0.005,0.1,1.96,5e-04,95655.84
0.85,1,0.005,0.1,1.96,5e-04,90006.4282352941
0.9,1,0.005,0.1,1.96,5e-04,84984.7288888889
0.95,1,0.005,0.1,1.96,5e-04,80491.6294736842
1,1,0.005,0.1,1.96,5e-04,76447.84
0.8,0.8,0.01,0.1,1.96,0.001,1745409.61777778
0.85,0.8,0.01,0.1,1.96,0.001,1489883.86366864
0.9,0.8,0.01,0.1,1.96,0.001,1286943.84
0.95,0.8,0.01,0.1,1.96,0.001,1123070.41777778
1,0.8,0.01,0.1,1.96,0.001,988827.84
0.8,0.85,0.01,0.1,1.96,0.001,1200286.3252071
0.85,0.85,0.01,0.1,1.96,0.001,1037631.84
0.9,0.85,0.01,0.1,1.96,0.001,906233.439999999
0.95,0.85,0.01,0.1,1.96,0.001,798548.589999999
1,0.85,0.01,0.1,1.96,0.001,709181.957647059
0.8,0.9,0.01,0.1,1.96,0.001,749119.84
0.85,0.9,0.01,0.1,1.96,0.001,655248.906666667
0.9,0.9,0.01,0.1,1.96,0.001,578256.84
0.95,0.9,0.01,0.1,1.96,0.001,514310.483598616
1,0.9,0.01,0.1,1.96,0.001,460607.84
0.8,0.95,0.01,0.1,1.96,0.001,370116.817777777
0.85,0.95,0.01,0.1,1.96,0.001,327952.589999999
0.9,0.95,0.01,0.1,1.96,0.001,292853.542422145
0.95,0.95,0.01,0.1,1.96,0.001,263310.852345679
1,0.95,0.01,0.1,1.96,0.001,238199.418947368
0.8,1,0.01,0.1,1.96,0.001,47635.84
0.85,1,0.01,0.1,1.96,0.001,44811.1341176471
0.9,1,0.01,0.1,1.96,0.001,42300.2844444445
0.95,1,0.01,0.1,1.96,0.001,40053.7347368421
1,1,0.01,0.1,1.96,0.001,38031.84
0.8,0.8,0.015,0.1,1.96,0.0015,784061.074567901
0.85,0.8,0.015,0.1,1.96,0.0015,669837.388980933
0.9,0.8,0.015,0.1,1.96,0.0015,579078.951111111
0.95,0.8,0.015,0.1,1.96,0.0015,505758.496790123
1,0.8,0.015,0.1,1.96,0.0015,445668.284444444
0.8,0.85,0.015,0.1,1.96,0.0015,542440.739408283
0.85,0.85,0.015,0.1,1.96,0.0015,469493.173333333
0.9,0.85,0.015,0.1,1.96,0.0015,410524.758518518
0.95,0.85,0.015,0.1,1.96,0.0015,362166.839999999
1,0.85,0.015,0.1,1.96,0.0015,322008.938039215
0.8,0.9,0.015,0.1,1.96,0.0015,342485.173333333
0.85,0.9,0.015,0.1,1.96,0.0015,300114.328888889
0.9,0.9,0.015,0.1,1.96,0.0015,265326.506666667
0.95,0.9,0.015,0.1,1.96,0.0015,236403.733886966
1,0.9,0.015,0.1,1.96,0.0015,212089.519012346
0.8,0.95,0.015,0.1,1.96,0.0015,174527.207901234
0.85,0.95,0.015,0.1,1.96,0.0015,155147.284444444
0.9,0.95,0.015,0.1,1.96,0.0015,138982.766566705
0.95,0.95,0.015,0.1,1.96,0.0015,125350.512153635
1,0.95,0.015,0.1,1.96,0.0015,113740.565146199
0.8,1,0.015,0.1,1.96,0.0015,31629.1733333333
0.85,1,0.015,0.1,1.96,0.0015,29746.0360784314
0.9,1,0.015,0.1,1.96,0.0015,28072.1362962963
0.95,1,0.015,0.1,1.96,0.0015,26574.4364912281
1,1,0.015,0.1,1.96,0.0015,25226.5066666667
0.8,0.8,0.02,0.1,1.96,0.002,445668.284444444
0.85,0.8,0.02,0.1,1.96,0.002,381048.07668639
0.9,0.8,0.02,0.1,1.96,0.002,329679.84
0.95,0.8,0.02,0.1,1.96,0.002,288162.684444444
1,0.8,0.02,0.1,1.96,0.002,254121.84
